,scores
448,-0.009999999776482582
449,0.0
450,0.0
451,-0.009999999776482582
452,0.0
453,-0.009999999776482582
454,0.0
455,-0.009999999776482582
456,0.0
457,-0.009999999776482582
458,-0.009999999776482582
459,0.0
460,0.0
461,-0.009999999776482582
462,0.0
463,-0.009999999776482582
464,-0.009999999776482582
465,0.0
466,-0.009999999776482582
467,0.0
468,0.10000000149011612
469,-0.009999999776482582
470,0.10000000149011612
471,-0.009999999776482582
472,-0.009999999776482582
473,0.0
474,0.10000000149011612
475,-0.009999999776482582
476,-0.009999999776482582
477,0.0
478,0.10000000149011612
479,-0.009999999776482582
480,-0.009999999776482582
481,0.0
482,-0.009999999776482582
483,0.0
484,0.0
485,-0.009999999776482582
486,-0.009999999776482582
487,0.0
488,0.0
489,-0.009999999776482582
490,0.10000000149011612
491,-0.009999999776482582
492,0.10000000149011612
493,-0.009999999776482582
494,0.10000000149011612
495,-0.009999999776482582
496,0.0
497,-0.009999999776482582
498,0.0
499,-0.009999999776482582
500,0.10000000149011612
501,-0.009999999776482582
502,0.0
503,-0.009999999776482582
504,0.0
505,0.09000000171363354
506,0.10000000149011612
507,-0.009999999776482582
508,0.10000000149011612
509,-0.009999999776482582
510,0.20000000298023224
511,0.19000000320374966
512,0.0
513,-0.009999999776482582
514,0.0
515,-0.009999999776482582
516,0.0
517,-0.009999999776482582
518,0.0
519,-0.009999999776482582
520,0.10000000149011612
521,-0.009999999776482582
522,0.0
523,0.09000000171363354
524,0.0
525,-0.009999999776482582
526,-0.009999999776482582
527,0.0
528,0.10000000149011612
529,-0.009999999776482582
530,-0.009999999776482582
531,0.0
532,0.0
533,0.09000000171363354
534,0.0
535,-0.009999999776482582
536,0.0
537,-0.009999999776482582
538,0.10000000149011612
539,-0.009999999776482582
540,0.10000000149011612
541,-0.009999999776482582
542,-0.009999999776482582
543,0.10000000149011612
544,0.0
545,0.09000000171363354
546,0.0
547,-0.009999999776482582
548,0.0
549,-0.009999999776482582
550,0.10000000149011612
551,0.09000000171363354
552,0.10000000149011612
553,-0.009999999776482582
554,0.0
555,-0.009999999776482582
556,-0.009999999776482582
557,0.0
558,0.0
559,-0.009999999776482582
560,0.10000000149011612
561,0.09000000171363354
562,0.0
563,-0.009999999776482582
564,0.0
565,-0.009999999776482582
566,0.10000000149011612
567,-0.009999999776482582
568,0.09000000171363354
569,0.20000000298023224
570,0.0
571,-0.009999999776482582
572,0.10000000149011612
573,-0.009999999776482582
574,0.0
575,-0.009999999776482582
576,0.0
577,-0.009999999776482582
578,0.0
579,-0.009999999776482582
580,0.0
581,-0.009999999776482582
582,0.09000000171363354
583,0.10000000149011612
584,0.0
585,-0.009999999776482582
586,0.0
587,-0.009999999776482582
588,0.0
589,-0.009999999776482582
590,0.0
591,-0.009999999776482582
592,0.0
593,-0.009999999776482582
594,0.0
595,-0.009999999776482582
596,0.0
597,-0.009999999776482582
598,0.0
599,-0.009999999776482582
600,0.10000000149011612
601,-0.009999999776482582
602,0.10000000149011612
603,-0.009999999776482582
604,0.0
605,-0.009999999776482582
606,0.10000000149011612
607,-0.009999999776482582
608,0.10000000149011612
609,-0.009999999776482582
610,0.0
611,-0.009999999776482582
612,0.0
613,-0.009999999776482582
614,0.10000000149011612
615,-0.009999999776482582
616,-0.009999999776482582
617,0.0
618,-0.009999999776482582
619,0.10000000149011612
620,0.0
621,-0.009999999776482582
622,0.30000000447034836
623,0.19000000320374966
624,0.09000000171363354
625,0.10000000149011612
626,0.30000000447034836
627,0.2900000046938658
628,0.09000000171363354
629,0.10000000149011612
630,-0.009999999776482582
631,0.10000000149011612
632,0.10000000149011612
633,-0.009999999776482582
634,0.20000000298023224
635,0.19000000320374966
636,-0.009999999776482582
637,0.10000000149011612
638,0.10000000149011612
639,-0.009999999776482582
640,0.10000000149011612
641,0.09000000171363354
642,0.0
643,0.09000000171363354
644,0.09000000171363354
645,0.20000000298023224
646,-0.009999999776482582
647,0.0
648,0.09000000357627869
649,0.0
650,0.0
651,-0.009999999776482582
652,-0.009999999776482582
653,0.0
654,0.10000000149011612
655,-0.009999999776482582
656,0.10000000149011612
657,-0.009999999776482582
658,0.10000000149011612
659,-0.009999999776482582
660,0.0
661,-0.009999999776482582
662,0.10000000149011612
663,-0.009999999776482582
664,0.10000000149011612
665,-0.009999999776482582
666,0.10000000149011612
667,-0.009999999776482582
668,0.0
669,-0.009999999776482582
670,0.10000000149011612
671,-0.009999999776482582
672,0.0
673,-0.009999999776482582
674,0.09000000171363354
675,0.10000000149011612
676,0.10000000149011612
677,-0.009999999776482582
678,0.10000000149011612
679,-0.009999999776482582
680,0.10000000149011612
681,-0.009999999776482582
682,0.4000000059604645
683,0.2900000046938658
684,0.0
685,-0.009999999776482582
686,0.0
687,-0.009999999776482582
688,0.0
689,-0.009999999776482582
690,0.0
691,-0.009999999776482582
692,0.10000000149011612
693,-0.009999999776482582
694,0.10000000149011612
695,-0.009999999776482582
696,0.10000000149011612
697,-0.009999999776482582
698,0.0
699,-0.009999999776482582
700,0.10000000149011612
701,0.09000000171363354
702,0.0
703,0.09000000171363354
704,0.10000000149011612
705,0.19000000320374966
706,0.5000000074505806
707,0.3900000061839819
708,-0.009999999776482582
709,0.0
710,0.10000000149011612
711,-0.009999999776482582
712,-0.009999999776482582
713,0.10000000149011612
714,0.10000000149011612
715,-0.009999999776482582
716,-0.009999999776482582
717,0.0
