,actor_loss,critic_loss
122,-0.03268717499449849,1.2505171503107703e-05
123,-0.022633705101907254,4.482500747826634e-06
124,-0.03183867894113064,6.898750768868922e-06
125,-0.022973423777148127,1.5334119768795063e-05
126,-0.03276914246380329,5.11587053324547e-06
127,-0.021225333260372282,7.265241691811752e-06
128,-0.03141258619725704,4.411505301504803e-06
129,-0.02178601725026965,1.0189620235223629e-05
130,-0.03291006488725543,2.0105204987430626e-05
131,-0.02016056813299656,1.4624255106809869e-05
132,-0.03168493798002601,1.4272666476244922e-05
133,-0.01976762511767447,6.132736450581433e-06
134,-0.03232804350554943,5.559766736951133e-06
135,-0.018848848761990666,3.974132687289966e-06
136,-0.03295823018997908,8.59776284301006e-06
137,-0.019002360478043556,3.865796753643736e-06
138,-0.031543657183647156,6.769654027038996e-06
139,-0.017583371652290226,1.5397218786006305e-05
140,-0.031469563115388156,8.372306717774336e-06
141,-0.017709006555378437,5.6278545343957376e-06
142,-0.03129897229373455,8.358520062756725e-06
143,-0.01646863897331059,7.719520891669162e-06
144,-0.029685117211192845,5.018254296373925e-06
145,-0.015447654481977224,2.8429079270608783e-05
146,-0.03186350436881184,3.059666466356248e-05
147,-0.015240257838740945,5.189411077708428e-05
148,-0.029373001772910357,2.660828549778671e-05
149,-0.01603940473869443,2.878786310702708e-05
150,-0.030291011929512023,1.610153437923145e-05
151,-0.014091743482276797,5.73080010326521e-06
152,-0.029291457403451203,4.764380423694092e-06
153,-0.014741161186248065,3.17640338153069e-05
154,-0.029571888968348503,1.4316097991695643e-05
155,-0.013153312867507339,4.852718120673671e-06
156,-0.028909898735582827,5.753148383291773e-06
157,-0.012234782241284848,4.5906417994956424e-06
158,-0.028949629236012697,1.2646530331039685e-05
159,-0.012513669906184077,1.0263473311056259e-05
160,-0.02751800697296858,5.778557544999785e-06
161,-0.012049574684351683,1.0974449241984986e-05
162,-0.02923197504132986,6.421458238037303e-06
163,-0.011371808825060725,3.89078552416322e-06
164,-0.027765927277505396,1.16791404138894e-05
165,-0.010683436132967471,1.8357496344378888e-06
166,-0.028137262631207704,6.1719568350326884e-06
167,-0.00985449873842299,1.3884519233897663e-06
168,-0.02723951209336519,2.0810656263847704e-05
169,-0.009309184458106756,1.8551793417032059e-06
170,-0.02442173194140196,4.0003278343192505e-06
171,-0.00870906978379935,1.4485819534115763e-06
172,-0.02664253758266568,1.8890870791210546e-05
173,-0.009922348591499031,1.709598047767713e-05
174,-0.027417870797216894,3.625065401138272e-05
175,-0.008803349803201854,4.305587080466467e-06
176,-0.026999159157276152,1.9749693137782742e-05
177,-0.008659586496651172,2.2012816981487048e-05
178,-0.025123697705566883,6.721857539560006e-06
179,-0.008217255736235529,1.4365275455929805e-05
180,-0.0248484474606812,7.538868146639288e-06
181,-0.008431393536739051,1.4008116698960293e-05
182,-0.02371063893660903,1.5227116625737835e-05
183,-0.00812617209739983,9.437545963919547e-06
184,-0.024580149818211793,5.5777908357868e-06
185,-0.008254479430615903,5.055886654758979e-06
186,-0.02447036961093545,1.1670666549434826e-05
187,-0.007841973681934178,1.0419614454804105e-05
188,-0.02435299027711153,1.0802216479532945e-05
189,-0.007683272799476981,1.699804603845223e-05
190,-0.025070169381797312,2.2831610397133773e-05
191,-0.008142063743434846,2.6561535639757496e-05
192,-0.024546567350625992,3.1138885719883544e-05
193,-0.008057702844962478,2.286060067717699e-05
194,-0.02470977818593383,2.8845144572642312e-05
195,-0.008361480315215886,1.992516498603436e-05
196,-0.022970877960324286,4.321731470326995e-05
197,-0.008228708524256945,1.9031277150816096e-05
198,-0.024494032748043536,3.1052404051479246e-05
199,-0.006641048158053308,5.391047022840212e-06
200,-0.02513103550300002,1.86917748351334e-05
201,-0.006996341398917139,9.930901708798955e-06
202,-0.02298868717625737,9.17634140478185e-06
203,-0.0073092535603791475,1.7304867105849554e-05
204,-0.024423891678452492,2.051066830972559e-05
205,-0.0070821758708916605,1.3741418223389701e-05
206,-0.023025376442819833,3.609997169746748e-05
207,-0.006947114376816899,2.166541600558958e-05
208,-0.024021569080650805,1.0262693831464275e-05
209,-0.007208143355092034,2.839113921027092e-05
210,-0.02536049485206604,2.7327845043600973e-05
211,-0.007045288837980479,2.1405686072739628e-05
212,-0.023433679062873126,2.1766190002381336e-05
213,-0.006669194134883582,1.643636842345586e-05
214,-0.02376148123294115,2.4676489135799785e-05
215,-0.006878266832791269,1.0297844499973508e-05
216,-0.024309751018881796,2.5779315160434634e-05
